import_ref;category_code;caseref;country;origin;type_code;alt_ref;responsible;filing_date;filing_num;registration_date;registration_num;publication_date;publication_num;expire_date;notes;parent_ref;import_ref;type_code;value;language;display_order;type_code;value;language;display_order;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date;import_ref;actor_display_name;role;display_order;rate;actor_ref;date
IMP-034;TM;TM13FERMENTALG07;SG;wo;;;admin;2020-10-08;1448049;;;;;2028-10-12;;;IMP-034;TIT;DHA ORIGINS 400 (logo);en;1;CL;1, 5;en;1;IMP-034;FERMENTALG;CLI;1;;;;IMP-034;FERMENTALG;OWN;1;;;;IMP-034;COURTIAU;CNT;1;;;
IMP-035;TM;TM05PAPOT03;WO;wo;;;admin;2018-10-12;1444161;2018-10-12;1444161;;;2028-10-12;;;IMP-035;TIT;SEEKYO;en;1;CL;1, 42;en;1;IMP-035;SEEKYO;CLI;1;;;;IMP-035;SEEKYO;OWN;1;;;;IMP-035;;CNT;1;;;
IMP-036;TM;TM05PAPOT03;UE;wo;;;admin;2018-10-12;1444161;2019-06-12;1444161;;;2028-10-12;octroi;;IMP-036;TIT;SEEKYO;en;1;CL;1, 42;en;1;IMP-036;SEEKYO;CLI;1;;;;IMP-036;SEEKYO;OWN;1;;;;IMP-036;;CNT;1;;;
IMP-037;TM;TM05PAPOT03;UK;;;;admin;2018-10-12;UK00801444161;2019-06-12;UK00801444161;;;2028-10-12;;;IMP-037;TIT;SEEKYO;en;1;CL;1, 42;en;1;IMP-037;SEEKYO;CLI;1;;;;IMP-037;SEEKYO;OWN;1;;;;IMP-037;;CNT;1;;;
IMP-038;TM;TM03PAPOT01;FR;;;;admin;2018-06-28;4465143;2018-06-28;4465143;2018-07-20;;2028-06-28;;;IMP-038;TIT;SEEKYO;en;1;CL;1, 5, 40, 42, 44;en;1;IMP-038;SEEKYO;CLI;1;;;;IMP-038;SEEKYO;OWN;1;;;;IMP-038;;CNT;1;;;
IMP-039;TM;TM19MHW03;WO;WO;;;admin;2018-10-22;1440880;;1440880;;;2028-10-22;;;IMP-039;TIT;DERMO IONIQ;en;1;CL;3, 5, 44;en;1;IMP-039;MHW;CLI;1;;;;IMP-039;MHW;OWN;1;;;;IMP-039;;CNT;1;;;
IMP-040;TM;TM19MHW03;UE;WO;;;admin;2018-10-22;1440880;2019-06-20;12163268;;;2028-10-22;octroi;;IMP-040;TIT;DERMO IONIQ;en;1;CL;3, 5, 44;en;1;IMP-040;MHW;CLI;1;;;;IMP-040;MHW;OWN;1;;;;IMP-040;;CNT;1;;;
IMP-041;TM;TM19MHW03;UK;;;;admin;2018-10-22;UK00801440880;2019-06-05;UK00801440880;;;2028-10-22;;;IMP-041;TIT;DERMO IONIQ;en;1;CL;3, 5, 44;en;1;IMP-041;MHW;CLI;1;;;;IMP-041;MHW;OWN;1;;;;IMP-041;;CNT;1;;;
IMP-042;TM;TM19MHW05;CH;WO;;;admin;2018-10-22;1440880;2019-11-21;1440880;;;2028-10-22;octroi;;IMP-042;TIT;DERMO IONIQ;en;1;CL;3, 5, 44;en;1;IMP-042;MHW;CLI;1;;;;IMP-042;MHW;OWN;1;;;;IMP-042;;CNT;1;;;
IMP-043;TM;TM19MHW06;JP;WO;;;admin;2021-10-13;1440880;;1440880;;;2028-10-22;en cours;;IMP-043;TIT;DERMO IONIQ;en;1;CL;3, 5;en;1;IMP-043;MHW;CLI;1;;;;IMP-043;MHW;OWN;1;;;;IMP-043;;CNT;1;;;
